"","Year","Scenario","TraceNumber","CNF_LF","ID"
"560",2048,"ObsRes",13,16.933581,560
"561",2049,"ObsRes",13,13.140416,561
"562",2050,"ObsRes",13,12.505894,562
"563",2051,"ObsRes",13,20.805422,563
"564",2052,"ObsRes",13,11.165419,564
"565",2053,"ObsRes",13,8.496102,565
"566",2054,"ObsRes",13,9.413908,566
"567",2055,"ObsRes",13,11.426874,567
"568",2056,"ObsRes",13,21.500963,568
"569",2057,"ObsRes",13,15.862511,569
"570",2058,"ObsRes",13,9.598169,570
"571",2059,"ObsRes",13,11.52416,571
"572",2060,"ObsRes",13,10.010259,572
"573",2017,"ObsRes",14,12.651367,573
"574",2018,"ObsRes",14,22.287631,574
"575",2019,"ObsRes",14,22.526783,575
"576",2020,"ObsRes",14,18.447196,576
"577",2021,"ObsRes",14,19.024047,577
"578",2022,"ObsRes",14,13.877797,578
"579",2023,"ObsRes",14,14.430703,579
"580",2024,"ObsRes",14,15.21373,580
"581",2025,"ObsRes",14,19.539212,581
"582",2026,"ObsRes",14,16.954335,582
"583",2027,"ObsRes",14,21.829584,583
"584",2028,"ObsRes",14,14.62104,584
"585",2029,"ObsRes",14,8.474133,585
"586",2030,"ObsRes",14,17.422186,586
"587",2031,"ObsRes",14,12.183502,587
"588",2032,"ObsRes",14,6.17819,588
"589",2033,"ObsRes",14,12.630349,589
"590",2034,"ObsRes",14,14.648871,590
"591",2035,"ObsRes",14,14.306056,591
"592",2036,"ObsRes",14,18.148319,592
"593",2037,"ObsRes",14,11.164062,593
"594",2038,"ObsRes",14,9.931656,594
"595",2039,"ObsRes",14,20.116677,595
"596",2040,"ObsRes",14,17.225136,596
"597",2041,"ObsRes",14,13.731401,597
"598",2042,"ObsRes",14,15.369422,598
"599",2043,"ObsRes",14,14.140528,599
"600",2044,"ObsRes",14,11.095455,600
"601",2045,"ObsRes",14,16.439485,601
"602",2046,"ObsRes",14,15.139293,602
"603",2047,"ObsRes",14,16.933581,603
"604",2048,"ObsRes",14,13.140416,604
"605",2049,"ObsRes",14,12.505894,605
"606",2050,"ObsRes",14,20.805422,606
"607",2051,"ObsRes",14,11.165419,607
"608",2052,"ObsRes",14,8.496102,608
"609",2053,"ObsRes",14,9.413908,609
"610",2054,"ObsRes",14,11.426874,610
"611",2055,"ObsRes",14,21.500963,611
"612",2056,"ObsRes",14,15.862511,612
"613",2057,"ObsRes",14,9.598169,613
"614",2058,"ObsRes",14,11.52416,614
"615",2059,"ObsRes",14,10.010259,615
"616",2060,"ObsRes",14,17.377609,616
"617",2017,"ObsRes",15,22.287631,617
"618",2018,"ObsRes",15,22.526783,618
"619",2019,"ObsRes",15,18.447196,619
"620",2020,"ObsRes",15,19.024047,620
"621",2021,"ObsRes",15,13.877797,621
"622",2022,"ObsRes",15,14.430703,622
"623",2023,"ObsRes",15,15.21373,623
"624",2024,"ObsRes",15,19.539212,624
"625",2025,"ObsRes",15,16.954335,625
"626",2026,"ObsRes",15,21.829584,626
"627",2027,"ObsRes",15,14.62104,627
"628",2028,"ObsRes",15,8.474133,628
"629",2029,"ObsRes",15,17.422186,629
"630",2030,"ObsRes",15,12.183502,630
"631",2031,"ObsRes",15,6.17819,631
